Artist_Name,Channel_Name,Song_Name,Video_Description,YouTube_Link,
Bobby,iKON,Holup!,Official Music Video,https://www.youtube.com/watch?v=-Tap_zZdkYA,
Bobby,iKON,I Love You,Official MV,https://www.youtube.com/watch?v=KBk0-QDjWfA,
Bobby,iKON,Runaway,Official MV,https://www.youtube.com/watch?v=_MKJY4vAc5o,
Bobby,iKON,Swim,Official MV,https://www.youtube.com/watch?v=spCXRKpkLjE,
Bobby,iKON,Tendae,Official MV,https://www.youtube.com/watch?v=1P3bBpLDpWs,
Born To Beat,BTOB 비투비 (Official YouTube Channel),Insane,Official Music Video,https://www.youtube.com/watch?v=FmuHZa6DQOc,
Boyfriend,starshipTV,Bounce,Official MV,https://www.youtube.com/watch?v=hnum0Qie2rY,
Boyfriend,starshipTV,Bounce,Official MV (Forest version),https://www.youtube.com/watch?v=yGWqS6hkbXU,
Boyfriend,starshipTV,Boyfriend,Dance Practice,https://www.youtube.com/watch?v=WRttwRhPl68,
Boyfriend,StarshipTV,Boyfriend,Official Music Video,https://www.youtube.com/watch?v=zd5GGvWWnzU,
Boyfriend,starshipTV,Don't Touch My Girl,Official MV,https://www.youtube.com/watch?v=f1cZ2uzxCjI,
Boyfriend,starshipTV,I Yah,Dance Practice,https://www.youtube.com/watch?v=uM623sYkm_I,
Boyfriend,starshipTV,I Yah,Official MV,https://www.youtube.com/watch?v=utJrJuBQ244,
Boyfriend,starshipTV,I'll Be There,Dance Practice,https://www.youtube.com/watch?v=Aj1J24NtIa0,
Boyfriend,starshipTV,I'll Be There,Official MV,https://www.youtube.com/watch?v=CipF26oiY54,
Boyfriend,starshipTV,Janus,Dance Practice,https://www.youtube.com/watch?v=94LBcDP_7hE,
Boyfriend,starshipTV,Janus,Official MV,https://www.youtube.com/watch?v=fPhfnAQGB0E,
Boyfriend,starshipTV,Love Style,Dance Practice,https://www.youtube.com/watch?v=stt5i8wtCa4,
Boyfriend,starshipTV,Obsession,Dance Practice,https://www.youtube.com/watch?v=GpJoM9RvuUI,
Boyfriend,starshipTV,On&On,Official MV,https://www.youtube.com/watch?v=DMBWex5v1fE,
Boyfriend,starshipTV,Star,Official MV,https://www.youtube.com/watch?v=iAVAhkvXXoQ,
Boyfriend,starshipTV,Star,Official MV (Eye Cotact Version),https://www.youtube.com/watch?v=x8S6A0TqZiQ,
Boyfriend,starshipTV,Sunshower,Official MV,https://www.youtube.com/watch?v=gRE1wRtg4tc,
Boyfriend,starshipTV,To My Bestfriend,Official MV,https://www.youtube.com/watch?v=CpennpBiMqA,
Boyfriend,starshipTV,White Out,Official MV,https://www.youtube.com/watch?v=B8QLLknB6Kw,
Boyfriend,starshipTV,Witch,Dance Practice,https://www.youtube.com/watch?v=8AflJB-Il-I,
Boyfriend,starshipTV,Witch,Official MV,https://www.youtube.com/watch?v=o1nkmcTZEcs,
BTOB,BTOB 비투비 (Official YouTube Channel),Beep Beep,Official MV,https://www.youtube.com/watch?v=qgtaSJ3PSMM,
BTOB,BTOB 비투비 (Official YouTube Channel),I'll Be Your Man,Official MV,https://www.youtube.com/watch?v=__BFUf_nJl0,
BTOB,BTOB 비투비 (Official YouTube Channel),I's Okay,Official MV (Dance version),https://www.youtube.com/watch?v=f4rN5Y7Dx_I,
BTOB,BTOB 비투비 (Official YouTube Channel),Irresistable Lips,Official MV,https://www.youtube.com/watch?v=uTB_2OfZMrk,
BTOB,BTOB 비투비 (Official YouTube Channel),It's Okay,Official MV,https://www.youtube.com/watch?v=SNpuKLfv1EE,
BTOB,BTOB 비투비 (Official YouTube Channel),Lover Boy,Official MV,https://www.youtube.com/watch?v=PpkKMO6Xr8Q,
BTOB,BTOB 비투비 (Official YouTube Channel),Missing You,Official MV,https://www.youtube.com/watch?v=wDkjWSt3HOM,
BTOB,BTOB 비투비 (Official YouTube Channel),Movie,Official MV,https://www.youtube.com/watch?v=QgoJwhfV60A,
BTOB,BTOB 비투비 (Official YouTube Channel),Remember That,Official MV,https://www.youtube.com/watch?v=vcnv3jjWgSc,
BTOB,BTOB 비투비 (Official YouTube Channel),Second Confession,Official MV,https://www.youtube.com/watch?v=7zuoNuI4fHQ,
BTOB,BTOB 비투비 (Official YouTube Channel),Second Confession,Official MV (PJ Version),https://www.youtube.com/watch?v=i06rYg2Kqyg,
BTOB,BTOB 비투비 (Official YouTube Channel),Stand By Me,Official MV,https://www.youtube.com/watch?v=33GODknx04I,
BTOB,BTOB 비투비 (Official YouTube Channel),The Winter's Tale,Official MV,https://www.youtube.com/watch?v=CWAhNgjB5jM,
BTOB,BTOB 비투비 (Official YouTube Channel),Thriller,Official MV,https://www.youtube.com/watch?v=khE7pSOgDbA,
BTOB,BTOB 비투비 (Official YouTube Channel),Way Back Home,Official MV,https://www.youtube.com/watch?v=lr-MkPRHFms,
BTOB,BTOB 비투비 (Official YouTube Channel),When I Was Your Man,Official MV,https://www.youtube.com/watch?v=-WUZYewLvxM,
BTOB,BTOB 비투비 (Official YouTube Channel),Wow,Official MV,https://www.youtube.com/watch?v=cXcUXWL1mJA,
BTOB,BTOB 비투비 (Official YouTube Channel),Wow,Official MV (Dance version),https://www.youtube.com/watch?v=8LzvqJLPLLU,
BTOB,BTOB 비투비 (Official YouTube Channel),You Can Cry,Official MV,https://www.youtube.com/watch?v=ICVx-mi3eYI,
BTOB,BTOB 비투비 (Official YouTube Channel),You're So Fly,Official MV,https://www.youtube.com/watch?v=RQoOEEnKlVY,
BTOB,BTOB 비투비 (Official YouTube Channel),아버지,Official MV,https://www.youtube.com/watch?v=J6wwClvnq8Y,
BTOB,BTOB 비투비 (Official YouTube Channel),아버지,Official MV (Special Version),https://www.youtube.com/watch?v=Ngo6CGwg5Pw,
BTS,ibighit,Blood Sweat & Tears,Official Music Video,https://www.youtube.com/watch?v=hmE9f-TEutc,
BTS,1theK,Boy in Luv,Official Music Video,https://www.youtube.com/watch?v=m8MfJg68oCs,
BTS,ibighit,Boy in Luv,Official Music Video,https://www.youtube.com/watch?v=LHHjp3IMjMk,
BTS,ibighit,Danger,Official Music Video,https://www.youtube.com/watch?v=43r6lXilbcQ,
BTS,ibighit,DNA,Official Music Video,https://www.youtube.com/watch?v=MBdVXkSdhwU,
BTS,1theK,Dope,Official Music Video,https://www.youtube.com/watch?v=BVwAVbKYYeM,
BTS,ibighit,Fake Love,Official MV,https://www.youtube.com/watch?v=7C2z4GqqS5E,
BTS,1theK,Fire,Official Music Video,https://www.youtube.com/watch?v=ALj5MKjy2BU,
BTS,1theK,I NEED U,Official Music Video (Original Version),https://www.youtube.com/watch?v=2gWIjRqvtnI,
BTS,ibighit,I NEED U,Official Music Video (Original Version),https://www.youtube.com/watch?v=jjskoRh8GTE,
BTS,1theK,I NEED U ,Official Music Video,https://www.youtube.com/watch?v=NMdTd9e-LEI,
BTS,ibighit,Just one day,Official Music Video,https://www.youtube.com/watch?v=dzAwJW107nk,
BTS,ibighit,Luv is,Official Music Video,https://www.youtube.com/watch?v=RbeJjvNh8og,
BTS,ibighit,Mic Drop (Steve Aoki Remix),Official Music Video,https://www.youtube.com/watch?v=kTlv5_Bs8aw,
BTS,ibighit,N.O,Official Music Video,https://www.youtube.com/watch?v=r5GaAEHvHj0,
BTS,ibighit,No More Dream,Official Music Video,https://www.youtube.com/watch?v=rBG5L7UsUxA,
BTS,ibighit,Not Today,Official Music Video,https://www.youtube.com/watch?v=9DwzBICPhdM,
BTS,ibighit,RUN,Official Music Video,https://www.youtube.com/watch?v=wKysONrSmew,
BTS,ibighit,Save Me,Official Music Video,https://www.youtube.com/watch?v=GZjt_sA2eso,
BTS,ibighit,Spring Day,Official Music Video,https://www.youtube.com/watch?v=xEeFrLSkMm8,
BTS,1theK,War of Hormone,Official Music Video,https://www.youtube.com/watch?v=XQmpVHUi-0A,
BTS,ibighit,War of Hormone,Official Music Video,https://www.youtube.com/watch?v=Hhph0_CdUHg,
BTS,ibighit,We Are Bulletproof Pt. 2,Official Music Video,https://www.youtube.com/watch?v=lE9lkSdtZeQ,
C-Clown,C-Clown Official,Let's Love,Official Music Video,https://www.youtube.com/watch?v=8GczGlJPbAk,
C-Clown,1theK,Shaking Heart,Official Music Video,https://www.youtube.com/watch?v=0e56l-8K3jU,
C-Clown,C-Clown Official,Shaking Heart,Official Music Video,https://www.youtube.com/watch?v=shPcgfkpMGs,
C-Clown,1theK,Solo,Official Music Video,https://www.youtube.com/watch?v=lvbGmWIHM6k,
C-Clown,C-Clown Official,Solo,Official Music Video,https://www.youtube.com/watch?v=LEvLMVOC_qo,
C-Clown,1theK,"Young Love, Far Away",Dance Version,https://www.youtube.com/watch?v=7GeGEfqQ9Rs,
C-Clown,1theK,"Young Love, Far Away",Member Ver,https://www.youtube.com/watch?v=Cvt7ui07gQs,
C-Clown,1theK,"Young Love, Far Away",Official Music Video,https://www.youtube.com/watch?v=wRQzgVIButQ,
C-Clown,C-Clown Official,"Young Love, Far Away",Member Ver,https://www.youtube.com/watch?v=ueKYirEXBiY,
C-Clown,C-Clown Official,"Young Love, Far Away",Official Music Video,https://www.youtube.com/watch?v=ROecOQcr07A,
C-Clown,C-Clown Official,"Young Love, Far Away",Set Ver,https://www.youtube.com/watch?v=e43nUTT51BU,
CLC,1theK,Black Dress,Official MV,https://www.youtube.com/watch?v=hF6Wds75rjg,
CLC,CLC 씨엘씨 (Official YouTube Channel),Black Dress,Official MV,https://www.youtube.com/watch?v=4Ic9crCZOfE,
CLC,United CUBE (CUBE Entertainment Official YouTube Channel),Black Dress,Dance Practice,https://www.youtube.com/watch?v=OZAy2i1RpXQ,
CLC,1theK,Distance,Official MV,https://www.youtube.com/watch?v=He0-VrNzMHY,
CLC,CLC 씨엘씨 (Official YouTube Channel),Distance,Official MV,https://www.youtube.com/watch?v=Qv5JSMpBHf4,
CLC,CLC 씨엘씨 (Official YouTube Channel),High Heels,Official MV,https://www.youtube.com/watch?v=0yAN3zJQPUg,
CLC,Stone Music Entertainment,High Heels,Official MV,https://www.youtube.com/watch?v=eyPSsQcmgiA,
CLC,United CUBE (CUBE Entertainment Official YouTube Channel),High Heels,Dance Practice,https://www.youtube.com/watch?v=ey0e2-FBGxQ,
CLC,CLC 씨엘씨 (Official YouTube Channel),Hobgoblin,Official MV,https://www.youtube.com/watch?v=u9OxRFab6o4,
CLC,Stone Music Entertainment,Hobgoblin,Official MV,https://www.youtube.com/watch?v=rJYDix4FttA,
CLC,United CUBE,Hobgoblin,MV Dance Version,https://www.youtube.com/watch?v=TcdeTC0W16k,
CLC,United CUBE (CUBE Entertainment Official YouTube Channel),Hobgoblin,Dance Practice,https://www.youtube.com/watch?v=lyzpY6RkUA8,
CLC,United CUBE (CUBE Entertainment Official YouTube Channel),I Like It,Official MV,https://www.youtube.com/watch?v=VJ2u7pIyV9I,
CLC,CLC 씨엘씨 (Official YouTube Channel),Like,Official MV,https://www.youtube.com/watch?v=hhlU34DloDY,
CLC,CLC 씨엘씨 (Official YouTube Channel),No Oh Oh,Official MV,https://www.youtube.com/watch?v=xBGTgR1RyV8,
CLC,Stone Music Entertainment,No Oh Oh,Official MV,https://www.youtube.com/watch?v=GoV7B9K23ts,
CLC,United CUBE (CUBE Entertainment Official YouTube Channel),No Oh Oh,Dance Practice,https://www.youtube.com/watch?v=ACHpetRfYyE,
CLC,CLC 씨엘씨 (Official YouTube Channel),Pepe,Official MV,https://www.youtube.com/watch?v=3qmsJbJasfo,
CLC,United CUBE (CUBE Entertainment Official YouTube Channel),Pepe,Dance Practice,https://www.youtube.com/watch?v=9GOCwqSeRLs,
CLC,United CUBE (CUBE Entertainment Official YouTube Channel),Pepe,Dance Practice (New Version),https://www.youtube.com/watch?v=GpR7iO6TANQ,
CLC,United CUBE (CUBE Entertainment Official YouTube Channel),Summer Kiss,Dance Practice,https://www.youtube.com/watch?v=V331Tvsyc3w,
CLC,United CUBE (CUBE Entertainment Official YouTube Channel),To The Sky,Dance Practice,https://www.youtube.com/watch?v=alLVPWtWZDE,
CLC,CLC 씨엘씨 (Official YouTube Channel),Where Are You?,Official MV,https://www.youtube.com/watch?v=khEW_JABKjw,
CLC,Stone Music Entertainment,Where Are You?,Official MV,https://www.youtube.com/watch?v=lNUP5B_NZUE,
CLC,United CUBE (CUBE Entertainment Official YouTube Channel),Where Are You?,Dance Practice,https://www.youtube.com/watch?v=g0P3AM-MaIM,
CNBlue,1theK,Between Us,Official Music Video,https://www.youtube.com/watch?v=oHaSMGJRSAQ,
CNBlue,CNBLUE,Can't Stop,Official Music Video,https://www.youtube.com/watch?v=75KBwVtd_W0,
